Time,Low,High,Open,Close,Volume
1513680480, 18351, 18355.16, 18351.01, 18355.16, 5.805954200000001
1513680420, 18305, 18351.01, 18305, 18351, 6.442789499999996
1513680360, 18305, 18305.54, 18305.54, 18305, 7.211287699999999
1513680300, 18305.6, 18380.01, 18380, 18305.6, 20.319674380000006
1513680240, 18380, 18412, 18412, 18380, 34.306631820000014
1513680180, 18412, 18414.41, 18414.41, 18412.01, 1.44871748
1513680120, 18414.4, 18422.01, 18422, 18414.4, 2.1770040199999996
1513680060, 18422, 18440, 18440, 18422.01, 3.393063229999999
1513680000, 18440, 18440.01, 18440.01, 18440, 3.1663894299999997
1513679940, 18440, 18470.01, 18470, 18440.01, 3.43523191
1513679880, 18470, 18485.04, 18485.04, 18470, 2.39881999
1513679820, 18487.96, 18506.96, 18506.96, 18487.96, 10.028578069999998
1513679760, 18506.95, 18506.96, 18506.96, 18506.96, 1.5192270199999998
1513679700, 18506.95, 18507.16, 18507.16, 18506.96, 0.2527368
1513679640, 18507.16, 18550.84, 18550.83, 18507.16, 2.15301973
1513679580, 18570, 18599.93, 18599.93, 18570, 2.5663834900000007
1513679520, 18599.93, 18599.94, 18599.93, 18599.94, 3.455068070000001
1513679460, 18573.6, 18599.94, 18573.6, 18599.93, 1.6778673
1513679400, 18500, 18592.48, 18500, 18573.59, 4.50013905
1513679340, 18473.9, 18483.11, 18473.91, 18483.11, 18.56787833
1513679280, 18473.9, 18473.91, 18473.91, 18473.91, 12.090809000000002
1513679220, 18473.91, 18480.01, 18480, 18473.91, 4.26355049
1513679160, 18480, 18492.01, 18492, 18480.01, 4.8644902100000005
1513679100, 18492, 18492.05, 18492.05, 18492, 3.3497647600000002
1513679040, 18492, 18528.08, 18528.08, 18492.04, 2.43505196
1513678980, 18527.6, 18629.96, 18527.6, 18528.08, 6.846875229999999
1513678920, 18489.56, 18543.35, 18489.57, 18527.6, 6.328121429999998
1513678860, 18415, 18489.57, 18415.01, 18489.56, 6.839057019999999
1513678800, 18415, 18425.01, 18425.01, 18415, 4.369759799999999
1513678740, 18425, 18435.01, 18435.01, 18425, 5.9035175399999975
1513678680, 18435.01, 18451, 18451, 18435.01, 12.062677199999998
1513678620, 18451, 18500.01, 18500.01, 18451, 7.193401069999998
1513678560, 18500, 18500.01, 18500, 18500, 8.660059239999999
1513678500, 18500, 18503.06, 18503.06, 18500, 7.764392919999999
1513678440, 18503.2, 18507.97, 18507.97, 18503.2, 2.33407707
1513678380, 18507.97, 18534.4, 18534.4, 18507.97, 3.513118650000001
1513678320, 18537.56, 18557.41, 18557.41, 18537.56, 6.179538589999999
1513678260, 18557.49, 18560.02, 18560.02, 18557.49, 5.699493660000001
1513678200, 18560.02, 18600.01, 18600.01, 18560.02, 4.1623114900000004
1513678140, 18600, 18615.42, 18615.42, 18600.01, 11.39086246
1513678080, 18615.42, 18615.43, 18615.42, 18615.42, 21.170745239999995
1513678020, 18615.43, 18615.44, 18615.44, 18615.43, 7.38320302
